pot,heating.ring,trt,population,soil,Inocula.source,CORLAN,DALPUR,ECHPUR,LESCAP,RUDHIR,RATPIN,BOUCUR,SCHSCO,ANDGER,KOEMAC,CommTotal,Unknown.Grass,Unknown.Forb,Notes
15,Heated 1,Heated,southern,northern remnant,Northern 4,0.153,0.124,0.338,0.137,0.191,0.15,7.97,0.63,1.14,0,10.833,0.018,NA,
16,Heated 1,Heated,northern,southern remnant,Schwartz,1.51,0.512,0.012,0.178,0,0,4.69,1.29,0.62,0,8.812,0.022,NA,
17,Heated 1,Heated,southern,northern remnant,Northern 1,0.353,0.137,0.425,0.237,0.189,0.03,9.84,1.32,1.81,0,14.341,NA,NA,
18,Heated 1,Heated,northern,northern remnant,Northern 2,1.973,0.527,0.296,0.071,0.07,0.022,4.25,0.894,0.312,0,8.415,NA,NA,
19,Heated 2,Heated,local,southern remnant,Golden,0,0.227,0.245,0.44,0.006,0,5.47,0.132,0.078,0,6.598,NA,NA,
20,Heated 2,Heated,local,northern remnant,Northern 3,0,0.087,0.125,0.363,0,0,5.28,0.037,0.013,0,5.905,NA,NA,
21,Heated 2,Heated,northern,northern remnant,Northern 3,1.95,0.362,0.01,0.127,3.00E-04,0,11.48,2.45,3.55,0,19.9293,NA,NA,
22,Heated 2,Heated,local,northern remnant,Northern 1,0.003,0.391,0.232,0.955,0.063,0,12.08,0.042,0,0,13.766,NA,NA,
23,Heated 2,Heated,southern,northern remnant,Northern 2,0.163,0.04,0.06,0.36,0,0.043,28.29,0.821,7.71,0,37.487,NA,NA,
24,Heated 2,Heated,northern,southern remnant,Pennsylvania,1.865,0.705,0.009,0.196,0.012,0,9.01,1.852,1.051,0,14.7,NA,NA,
25,Heated 2,Heated,northern,northern remnant,Northern 2,1.41,1.306,0,0.134,0,0,5.76,2.09,0.452,0,11.152,NA,NA,
26,Heated 2,Heated,northern,local remnant,Helmer Brook,0.9,0.186,0.366,0.038,0.041,0,4.42,0.74,0.347,0,7.038,NA,NA,
27,Heated 2,Heated,southern,southern remnant,Golden,0.038,0.011,0.05,0.147,0.005,0,18.2,0.652,2.59,0,21.693,NA,NA,
28,Heated 2,Heated,local,local remnant,Prairie Ronde,0.011,0.49,0.222,0.617,0.014,0,9.97,0.04,0.221,0,11.585,NA,NA,
29,Heated 2,Heated,northern,local remnant,Prairie Ronde,0.102,0.05,0,0.026,0.03,0,7.23,1.276,2.01,0.001,10.725,NA,NA,
30,Heated 2,Heated,local,southern remnant,Pennsylvania,0,0.429,0.216,0.892,0.01,0,17.03,0.173,0.181,0,18.931,NA,NA,
31,Heated 2,Heated,southern,local remnant,Sauk Trail,0.181,0.055,0.115,0.062,0.03,0,25.52,0.449,3.95,0,30.362,NA,NA,
32,Heated 2,Heated,local,local remnant,KalHaven,0.012,0.052,0.052,0.497,0.011,0,4.57,0.177,0,0,5.371,NA,NA,
33,Heated 2,Heated,southern,northern remnant,Northern 4,0.07,0.075,0.362,0.091,0.006,0.075,12.25,0.466,2.32,0,15.715,NA,NA,
34,Heated 2,Heated,southern,southern remnant,Golden,0.083,0.114,0.314,0.186,0.053,0,19.44,0.372,2.42,0,22.982,NA,NA,
35,Heated 2,Heated,southern,local remnant,Helmer Brook,0.035,0.088,0.47,0.299,0.032,0,15.94,0.435,1.87,0,19.169,NA,NA,
36,Heated 2,Heated,northern,southern remnant,Golden,0.141,0.007,0,0.254,0.005,0,8.21,0.888,1.039,0,10.544,NA,NA,
37,Heated 3,Heated,northern,local remnant,Prairie Ronde,0.206,0.146,0,0.047,0,0,18.42,1.69,1.44,0,21.949,0.181,NA,
38,Heated 3,Heated,southern,local remnant,Sauk Trail,0.029,0,0.081,0.106,0.035,0.026,27.76,1.01,4.62,0,33.667,NA,NA,
39,Heated 3,Heated,local,southern remnant,Denison,0.035,0.055,0.035,0.189,0.168,0,12.85,0,0.49,0,13.822,NA,NA,
40,Heated 3,Heated,local,local remnant,Sauk Trail,0,0.136,0.831,0.64,0,0,24.35,0,0.1,0,26.057,NA,NA,
41,Heated 3,Heated,southern,northern remnant,Northern 2,0,0.007,0.003,0,0,0,32.98,0,1.38,0,34.37,NA,NA,
42,Heated 3,Heated,southern,southern remnant,Pennsylvania,0.038,0.02,0.023,0.013,0.016,0,32.53,0.182,4.5,0,37.322,NA,NA,
43,Heated 3,Heated,northern,northern remnant,Northern 4,1.576,0.253,0,0.02,0,0,35.31,0.566,4.72,0,42.445,NA,NA,
44,Heated 3,Heated,northern,southern remnant,Pennsylvania,5.33,0.171,0.045,0.03,0,0,21.81,0.893,1.138,0,29.417,NA,NA,
45,Heated 3,Heated,local,northern remnant,Northern 4,0,0,0.159,0.567,0.002,0,20.44,0.059,0.592,0,21.819,NA,NA,
46,Heated 3,Heated,northern,northern remnant,Northern 1,1.472,0.197,0.051,0.029,0,0,24.04,1.2,2.14,0,29.129,NA,NA,
47,Heated 3,Heated,local,southern remnant,Golden,0,0.2,0.13,0.989,0.005,0,13.85,0.164,0,0,15.338,0.125,NA,DIGCOG
48,Heated 3,Heated,northern,southern remnant,Denison,1.313,0.084,0,0.169,0,0,17.86,0.51,1.06,0,20.996,NA,NA,
49,Heated 3,Heated,southern,southern remnant,Denison,0.113,0,0.207,0.138,0,0,21.96,0.177,2.52,0,25.115,NA,NA,
50,Heated 3,Heated,local,local remnant,KalHaven,0,0,0.113,0.256,0,0,5.67,0.022,0,0,6.061,1.4,NA,
51,Heated 3,Heated,southern,northern remnant,Northern 1,0.13,0.039,0.301,0.181,0.096,0,21.23,0,3.78,0,25.757,NA,NA,
52,Heated 3,Heated,southern,local remnant,Prairie Ronde,0.003,0,0.008,0.258,0.04,0,17.11,0.113,2.13,0,19.662,NA,NA,
53,Heated 3,Heated,northern,local remnant,KalHaven,2.17,0.087,0,0.226,0,0,28.27,1.03,2.11,0,33.893,NA,NA,
54,Heated 3,Heated,local,northern remnant,Northern 2,0,0.081,0.006,0.42,0,0,29.45,0.105,0.901,0,30.963,NA,NA,
